rank, player_id, score, time, spm
464,edy73,124941504,3388:55:00,614.46
465,Tariki-_-Hongan,124931339,4121:33:20,505.19
466,M-A-N-U-T-E-O,124791937,4021:30:00,517.19
467,The-Outlaw-666,124609105,2729:02:40,761.01
468,Dr_ChicoTripa,124426623,2915:08:20,711.38
469,spartacus-228,124408838,2791:46:40,742.71
470,rinda6212,124311146,1913:16:50,1082.88
471,TwoStroke-Bandit,124296407,3506:05:00,590.86
472,OrlandoScobra,124040164,2378:05:30,869.33
473,bruno_luan10,124020639,2679:20:50,771.46
474,front-elevation,124006136,3004:18:20,687.94
475,Venacz,123859357,2580:34:40,799.95
476,ClauSx__,123515613,2239:50:40,919.08
477,tt-redrum,123500625,3422:13:20,601.46
478,milliongod-vvv,123295501,2887:03:20,711.77
479,bikerbiker3,123287680,3068:25:00,669.66
480,X1-3_blu,123225586,3000:15:00,684.53
481,salamon96,123186061,4344:40:00,472.56
482,MicYork,123022489,2767:49:00,740.79
483,DanTonJaL,122984670,3067:16:40,668.26
484,Tarthek,122800908,3218:46:40,635.86
485,REX-8492,122676079,1575:26:40,1297.79
486,CyberDyme,122643962,4443:21:40,460.03
487,salem1433,122636088,4126:23:20,495.33
488,PETRUNIA,122048947,4069:48:20,499.81
489,xInFiniTyBlaze,121973758,1973:27:00,1030.12
490,TOMMY-AMJED,121957470,3243:41:40,626.64
491,Bootybandit197,121843963,3722:35:00,545.52
492,Maf10so,121818294,2937:26:40,691.18
493,SENATOR__ACCEN,121504994,4205:26:40,481.54
494,rodrigo-lhp83,121424083,3104:15:00,651.92
495,TRIGGrTREAT,121373905,2031:51:10,995.59
496,iUbermensch,121338044,2185:34:50,925.29
497,heino987,121334649,3699:33:20,546.62
498,sherry-ktym,121283065,3125:13:20,646.8
499,bukkinator,121220971,2362:41:20,855.11
500,Tj621013,120812413,2860:20:00,703.95
501,tomomingo_hoo,120447224,3068:43:20,654.17
502,oldmanCDL1964,120228496,4210:20:00,475.93
503,kaito340432,120022533,3636:20:00,550.11
504,Typho31,120000594,3219:51:40,621.15
505,TestaGBG,119995687,2183:12:00,916.05
506,RaptorClaw95,119962251,2977:41:40,671.45
507,GaUgE_Da_MeNaCe,119956690,2549:07:20,784.3
508,cosmo__nz,119821091,3751:10:00,532.37
509,msy911922,119755782,2898:00:00,688.73
510,donsuke19,119707638,4301:06:40,463.86
511,xAvanc,119706947,2788:08:20,715.57
512,Taigr-1-,119693643,2599:21:30,767.46
513,xxrolocompressor,119593307,4518:06:40,441.16
514,Aaura13,119549655,2318:34:10,859.36
515,DHaddock86,119454837,4420:51:40,450.35
516,ziyzi,119428001,3053:36:40,651.84
517,wwacmm,119421812,6317:45:00,315.04
518,soldier3630,119383811,2397:06:00,830.06
519,AzOz_rl9,119362118,2074:00:40,959.19
520,Leonardo_silva81,119318131,4029:36:40,493.51
521,Saudd-1989,119299061,3430:58:20,579.52
522,Recoil__77,119200532,2394:52:00,829.56
523,xD-_SuPra,119142998,1907:11:30,1041.17
524,redelk42,119042406,2946:30:00,673.35
525,NEKOSHIKI-_-4649,118862439,2871:06:40,689.99
526,haraumawiner,118611362,2568:18:40,769.71
527,TaurusCombat,118574832,1878:46:50,1051.88
528,BIGDADDYV,118412125,2826:15:00,698.29
529,KINGMuller,118167893,1972:02:10,998.7
530,Yo_Zwerv,118121432,2120:58:10,928.2
531,DinoSafari,118079788,2252:27:00,873.71
532,CanadianChimo,117995995,2682:42:00,733.07
533,Randam,117949801,3553:00:00,553.29
534,yodlez15,117676445,4383:33:20,447.42
535,clock-kuji9135,117624181,2937:58:20,667.26
536,ANZAC-1915,117580578,5231:56:40,374.56
537,hoponthebus,117570927,3340:05:00,586.67
538,RENEBAAGO,117558603,3825:31:40,512.17
539,Oko__21,117314985,2984:08:20,655.21
540,abbas_19912,117304627,2659:56:20,735.01
541,BigZoro92,117117668,1753:32:40,1113.15
542,KIRIBATI2010,116877810,3368:25:00,578.3
543,MarcoSales15,116757298,2616:43:00,743.66
544,SIGIII1987,116661269,4134:25:00,470.29
545,xMystii-,116634752,2140:01:40,908.36
546,o7gt3,116620925,7281:31:40,266.93
